label,category,UUID,URI
leaf/foliation,textblock - numberOfPages - unit,b534137b-515b-4bf0-9503-0e1622593e08,http://w3id.org/bod-vocabs/b534137b-515b-4bf0-9503-0e1622593e08
page/pagination,textblock - numberOfPages - unit,f1c773ca-7044-46ef-95de-5c3a56833a2d,http://w3id.org/bod-vocabs/f1c773ca-7044-46ef-95de-5c3a56833a2d
regular,gatherings - gatheringFormation,68ec8014-f09f-42de-9e84-bb9b989d1237,http://w3id.org/bod-vocabs/68ec8014-f09f-42de-9e84-bb9b989d1237
irregular,gatherings - gatheringFormation,d0c9171a-343c-4c23-8c32-c761251d2e8c,http://w3id.org/bod-vocabs/d0c9171a-343c-4c23-8c32-c761251d2e8c
pasteboard,board - type,35b9fc66-4c39-4375-ace3-2391c85d25dc,http://w3id.org/bod-vocabs/35b9fc66-4c39-4375-ace3-2391c85d25dc
single,board - type,bc19815e-466d-43db-807d-eb39fa0c1997,http://w3id.org/bod-vocabs/bc19815e-466d-43db-807d-eb39fa0c1997
laminated,board - type,198134d4-8726-4d6b-a6e1-e960e3f511fc,http://w3id.org/bod-vocabs/198134d4-8726-4d6b-a6e1-e960e3f511fc
board sewing,boardAttachment - technique,a851b8c0-4a95-49af-8fa7-92535bd6071f,http://w3id.org/bod-vocabs/a851b8c0-4a95-49af-8fa7-92535bd6071f
slip lacing,boardAttachment - technique,ff3ec05b-bf2c-4474-9574-d674c9acd596,http://w3id.org/bod-vocabs/ff3ec05b-bf2c-4474-9574-d674c9acd596
all,sewing - sewingSupports - n,1842c9d6-5404-4388-944e-059bf230e294,http://w3id.org/bod-vocabs/1842c9d6-5404-4388-944e-059bf230e294
flat,sewingSupports - type,fe132446-8ee4-4429-888f-a1572a76b3b4,http://w3id.org/bod-vocabs/fe132446-8ee4-4429-888f-a1572a76b3b4
strap,sewingSupports - type,ea733da0-8783-413c-b8a3-374a524cdc14,http://w3id.org/bod-vocabs/ea733da0-8783-413c-b8a3-374a524cdc14
split-strap,sewingSupports - type,7fbbc025-f862-40af-ace8-6416afddf42a,http://w3id.org/bod-vocabs/7fbbc025-f862-40af-ace8-6416afddf42a
twisted,sewingSupports - type,c379495e-507b-4f1b-b214-89872360ed3b,http://w3id.org/bod-vocabs/c379495e-507b-4f1b-b214-89872360ed3b
laminated,sewingSupports - type,509f7238-f1b9-4879-b197-5611ca0ab298,http://w3id.org/bod-vocabs/509f7238-f1b9-4879-b197-5611ca0ab298
folded,sewingSupports - type,a61c13d5-eff6-499c-ad36-f4ba61fb0168,http://w3id.org/bod-vocabs/a61c13d5-eff6-499c-ad36-f4ba61fb0168
rolled,sewingSupports - type,c0e64fec-2b9c-48af-95fa-5439dc8f2b6b,http://w3id.org/bod-vocabs/c0e64fec-2b9c-48af-95fa-5439dc8f2b6b
thongs,sewingSupports - type,a54dd311-adaf-443b-a985-27b0aa02f664,http://w3id.org/bod-vocabs/a54dd311-adaf-443b-a985-27b0aa02f664
